t,Ar,Ar+,e,T_e,T_n,p,P
0.0022636368701849066,1.6916510107890106e+21,1.3772288488386642e+17,1.3772288488386642e+17,0.7012331068846512,342.5,8.000000000001592,0.0
0.002279538174413694,1.6916525938387308e+21,1.3613983515833323e+17,1.3613983515833323e+17,0.6565863069435043,342.5,8.000000000001567,0.0
0.002295439478642482,1.6916540989371455e+21,1.3463473673786616e+17,1.3463473673786616e+17,0.6162732674431798,342.5,8.000000000001538,0.0
0.0023113407828712694,1.6916555315993117e+21,1.3320207456683184e+17,1.3320207456683184e+17,0.5793853643130756,342.5,8.000000000001517,0.0
0.002327242087100057,1.6916568963078737e+21,1.3183736599987835e+17,1.3183736599987835e+17,0.5455494866369829,342.5,8.000000000001492,0.0
0.00235503238852678,1.6916591333470343e+21,1.2960032683012656e+17,1.2960032683012656e+17,0.4926724771207558,342.5,8.00000000000145,0.0
0.0023828226899535033,1.6916611959195005e+21,1.275377543555835e+17,1.275377543555835e+17,0.4468732932715256,342.5,8.00000000000141,0.0
0.0024106129913802265,1.6916631019551895e+21,1.2563171865856478e+17,1.2563171865856478e+17,0.4069965043406571,342.5,8.000000000001373,0.0
0.00245673363220396,1.6916659606342882e+21,1.22773039546862e+17,1.22773039546862e+17,0.35164259121900193,342.5,8.000000000001311,0.0
0.002502854273027694,1.6916684959485822e+21,1.2023772523998691e+17,1.2023772523998691e+17,0.30664929232421856,342.5,8.00000000000125,0.0
0.0025489749138514275,1.6916707610020956e+21,1.1797267171403843e+17,1.1797267171403843e+17,0.2694627405003381,342.5,8.00000000000119,0.0
0.0025950955546751612,1.6916727973073359e+21,1.1593636646098464e+17,1.1593636646098464e+17,0.23837608104119526,342.5,8.00000000000113,0.0
0.0026,1.691673001806893e+21,1.1573186690253064e+17,1.1573186690253064e+17,0.23538191393475108,342.5,8.000000000001123,0.0
