variant_id,variant_category,step_id,local_final_ne_m3,pygmol_final_ne_m3,ratio_final_ne_pygmol_over_local,local_final_mean_energy_eV,pygmol_final_mean_energy_equiv_eV,ratio_final_mean_energy_equiv_pygmol_over_local,local_mean_absorbed_power_W,pygmol_mean_absorbed_power_W,local_final_wafer_ion_flux_m2_s,pygmol_final_cylinder_wall_Arplus_flux_m2_s,power_scale,wall_area_scale,surface_sticking_scale,arrhenius_a_scale,electron_energy_loss_scale
energy_loss_x1p5,energy_loss,afterglow,418033350741352.1,7.77661980882607e+16,186.02869352492556,0.8839174015298619,0.3461288365186535,0.3915850462040712,0.0,10.734996379151584,2.4849111237958995e+17,1.6624528252527135e+18,1.0,1.0,1.0,1.0,1.5
arplus_sticking_x0p5,surface,ignition,7.826435992375635e+16,2.390312971298058e+16,0.3054152584428794,1.664451713571195,2.732432943180776,1.6416414612101629,333.6391345557527,502.27816542354685,4.089398865112433e+19,1.0751050310000908e+18,1.0,1.0,0.5,1.0,1.0
arplus_sticking_x0p5,surface,production,2.4107268447347296e+17,1.8527722719235965e+17,0.7685533829642449,1.662612635192909,2.330835892221464,1.401911571513483,1094.0823474742563,1486.2540345478137,1.2669029679693693e+20,7.998043232204601e+18,1.0,1.0,0.5,1.0,1.0
arplus_sticking_x0p5,surface,afterglow,418033350741352.1,1.5451081297125498e+17,369.6136030707625,0.8839174015298619,0.4075721813546473,0.4610975874547007,0.0,0.0,2.4849111237958995e+17,3.088491668535091e+18,1.0,1.0,0.5,1.0,1.0
wall_area_x1p5,geometry,ignition,7.826435992375635e+16,2.088962713420664e+16,0.2669111094060811,1.664451713571195,2.8038473517318763,1.6845471267628607,333.6391345557527,505.2085702484991,4.089398865112433e+19,1.8262075593324337e+18,1.0,1.5,1.0,1.0,1.0
wall_area_x1p5,geometry,production,2.4107268447347296e+17,9.922901996127576e+16,0.41161453101997825,1.662612635192909,2.5765292575400816,1.5496870425510347,1094.0823474742563,1499.2461755290815,1.2669029679693693e+20,8.476922688578794e+18,1.0,1.5,1.0,1.0,1.0
wall_area_x1p5,geometry,afterglow,418033350741352.1,6.6354013467161816e+16,158.72899458736424,0.8839174015298619,0.19378716640845828,0.219236736456434,0.0,6.924924412913229,2.4849111237958995e+17,1.5163128822247808e+18,1.0,1.5,1.0,1.0,1.0
wall_area_x2,geometry,ignition,7.826435992375635e+16,1.9200743361609316e+16,0.24533189027948754,1.664451713571195,2.8090696521695664,1.6876846767410967,333.6391345557527,500.677160380455,4.089398865112433e+19,1.8112613650396232e+18,1.0,2.0,1.0,1.0,1.0
wall_area_x2,geometry,production,2.4107268447347296e+17,7.807764273930718e+16,0.32387594185478386,1.662612635192909,2.669542485301161,1.6056310584885098,1094.0823474742563,1492.6808869309298,1.2669029679693693e+20,7.28598123834141e+18,1.0,2.0,1.0,1.0,1.0
wall_area_x2,geometry,afterglow,418033350741352.1,4.486797295101765e+16,107.33108464060946,0.8839174015298619,0.11678276648114044,0.13211954678006768,0.0,12.940202505414216,2.4849111237958995e+17,9.809142497174762e+17,1.0,2.0,1.0,1.0,1.0
power_x0p75,power,ignition,7.826435992375635e+16,1.7141680408200596e+16,0.21902281478951205,1.664451713571195,2.7495792627896654,1.6519429433553559,333.6391345557527,377.0511788830314,4.089398865112433e+19,1.2372787383532298e+18,0.75,1.0,1.0,1.0,1.0
power_x0p75,power,production,2.4107268447347296e+17,1.0881655238492166e+17,0.4513848286983985,1.662612635192909,2.431179632401631,1.4622646195152649,1094.0823474742563,1117.9202235912069,1.2669029679693693e+20,7.47404087946498e+18,0.75,1.0,1.0,1.0,1.0
power_x0p75,power,afterglow,418033350741352.1,8.6796589075787e+16,207.63077616142226,0.8839174015298619,0.3531453829380994,0.3995230576147548,0.0,0.0,2.4849111237958995e+17,1.8820241795120028e+18,0.75,1.0,1.0,1.0,1.0
power_x1p25,power,ignition,7.826435992375635e+16,2.85796922205075e+16,0.3651686699840041,1.664451713571195,2.7634100440374634,1.660252455211439,333.6391345557527,631.7116067126881,4.089398865112433e+19,2.0669066886445396e+18,1.25,1.0,1.0,1.0,1.0
power_x1p25,power,production,2.4107268447347296e+17,1.8136692222805987e+17,0.7523329431709922,1.662612635192909,2.4412430594620025,1.4683173986457472,1094.0823474742563,1871.7235432379173,1.2669029679693693e+20,1.2478837830072486e+19,1.25,1.0,1.0,1.0,1.0
power_x1p25,power,afterglow,418033350741352.1,1.44661995090693e+17,346.053717566183,0.8839174015298619,0.35303769210228614,0.3994012240185083,0.0,9.62525094856095,2.4849111237958995e+17,3.1361406032987484e+18,1.25,1.0,1.0,1.0,1.0
