t,Ar,Ar+,e,T_e,T_n,p,P
1.6932999235364914e-06,1.6917845848928475e+21,4148780710727578.5,4148780710727578.5,1.628619996770249,342.5,8.000000000000002,500.0
2.000871941521881e-06,1.6917837778203834e+21,4955853175321421.0,4955853175321421.0,1.5787883447089603,342.5,8.000000000000004,500.0
2.3084439595072708e-06,1.691782974754682e+21,5758918876276983.0,5758918876276983.0,1.5403828165025677,342.5,8.000000000000002,500.0
3.117700340896483e-06,1.6917808770550913e+21,7856618466713518.0,7856618466713518.0,1.46808865709421,342.5,8.0,500.0
3.926956722285695e-06,1.6917788011501225e+21,9932523435560072.0,9932523435560072.0,1.4200820230092994,342.5,8.0,500.0
4.736213103674908e-06,1.6917767449390424e+21,1.1988734515892658e+16,1.1988734515892658e+16,1.3852093032363448,342.5,8.000000000000002,500.0
5.8139569414273825e-06,1.6917740352212907e+21,1.4698452267600308e+16,1.4698452267600308e+16,1.3516050465889966,342.5,8.000000000000002,500.0
6.891700779179857e-06,1.69177135299372e+21,1.7380679838561794e+16,1.7380679838561794e+16,1.3251327902991898,342.5,8.000000000000004,500.0
7.969444616932333e-06,1.6917686947627053e+21,2.003891085300235e+16,2.003891085300235e+16,1.3036682181411992,342.5,8.000000000000002,500.0
9.047188454684809e-06,1.691766057367508e+21,2.267630605037023e+16,2.267630605037023e+16,1.285524212162992,342.5,8.000000000000004,500.0
1.1937541384892817e-05,1.6917590693753871e+21,2.9664298171802944e+16,2.9664298171802944e+16,1.2479784352747163,342.5,8.000000000000005,500.0
1.4827894315100826e-05,1.6917521972781384e+21,3.653639542117822e+16,3.653639542117822e+16,1.2207375774183087,342.5,8.000000000000007,500.0
1.7718247245308837e-05,1.6917454283391482e+21,4.3305334411050296e+16,4.3305334411050296e+16,1.2002203952196975,342.5,8.000000000000007,500.0
2.343430150758435e-05,1.6917323050638694e+21,5.642860969119532e+16,5.642860969119532e+16,1.16955843661713,342.5,8.000000000000012,500.0
2.9150355769859865e-05,1.6917194886366088e+21,6.924503695508089e+16,6.924503695508089e+16,1.1484866695158158,342.5,8.000000000000028,500.0
3.4866410032135376e-05,1.6917069363702638e+21,8.17973033039608e+16,8.17973033039608e+16,1.1319334821940643,342.5,8.000000000000046,500.0
4.0582464294410886e-05,1.691694617207922e+21,9.411646564729731e+16,9.411646564729731e+16,1.117933726237955,342.5,8.000000000000053,500.0
5.411452222342739e-05,1.6916662124854108e+21,1.2252118815691291e+17,1.2252118815691291e+17,1.0901500808457547,342.5,8.000000000000046,500.0
6.764658015244389e-05,1.6916387128036976e+21,1.5002086986604992e+17,1.5002086986604992e+17,1.0695550414334283,342.5,8.000000000000028,500.0
8.117863808146039e-05,1.6916120254176638e+21,1.7670825589752326e+17,1.7670825589752326e+17,1.0546225246430623,342.5,8.000000000000016,500.0
9.471069601047689e-05,1.6915860874220365e+21,2.026462515240574e+17,2.026462515240574e+17,1.0423042016640558,342.5,8.000000000000012,500.0
0.0001235655483679329,1.6915329210998687e+21,2.5581257369403203e+17,2.5581257369403203e+17,1.0214436323601996,342.5,8.000000000000023,500.0
0.0001524204007253889,1.691482369672423e+21,3.063640011472965e+17,3.063640011472965e+17,1.00548443899895,342.5,8.000000000000059,500.0
0.00018127525308284488,1.691434122005206e+21,3.546116683722433e+17,3.546116683722433e+17,0.992879811082779,342.5,8.000000000000096,500.0
0.00019418698162329152,1.6914132304046632e+21,3.7550326891610874e+17,3.7550326891610874e+17,0.9882862748307973,342.5,8.000000000000101,500.0
0.00019741491375840318,1.6914080736496808e+21,3.80660023898513e+17,3.80660023898513e+17,0.9871524832238535,342.5,8.000000000000101,500.0
0.00019902887982595902,1.6914055044365555e+21,3.8322923702366906e+17,3.8322923702366906e+17,0.9865690860994145,342.5,8.000000000000101,500.0
0.00019983586285973694,1.6914042223746508e+21,3.8451129892873184e+17,3.8451129892873184e+17,0.9862918448609771,342.5,8.000000000000101,500.0
0.00019999669742885442,1.6914039483875726e+21,3.8478528600693395e+17,3.8478528600693395e+17,0.9946359916027738,342.5,8.000000000000101,936.4890164308813
0.0002001575319979719,1.6914035979905936e+21,3.8513568298565875e+17,3.8513568298565875e+17,1.0183885566909117,342.5,8.000000000000101,1500.0
